epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.552,1.31787,2.74072,1.18577,0.77621,0.63106,0.7199,0.39682,1.48646,1.48263,1.24503,0.000555148,0.000555148,0.000555148
2,451.227,1.4389,1.4801,1.27342,0.77044,0.63975,0.73719,0.44074,1.34511,1.39045,1.20315,0.00109982,0.00109982,0.00109982
3,669.431,1.41576,1.39796,1.24654,0.72853,0.66488,0.73793,0.45315,1.30687,1.33774,1.2062,0.00163349,0.00163349,0.00163349
4,895.118,1.36512,1.27159,1.21609,0.8192,0.71763,0.79162,0.49374,1.30116,1.12388,1.17142,0.00161749,0.00161749,0.00161749
5,1184.91,1.32879,1.21111,1.19432,0.81751,0.72005,0.80928,0.5199,1.22318,1.13129,1.13865,0.00160099,0.00160099,0.00160099
6,1445.4,1.28992,1.14113,1.17214,0.81039,0.73977,0.80704,0.51538,1.24826,1.07724,1.14561,0.00158448,0.00158448,0.00158448
7,1865.8,1.2583,1.08048,1.15275,0.86022,0.75747,0.84539,0.56348,1.19415,0.92787,1.10846,0.00156798,0.00156798,0.00156798
8,2142.08,1.24982,1.06798,1.14417,0.86321,0.77506,0.85263,0.56817,1.18023,0.93458,1.10745,0.00155148,0.00155148,0.00155148
9,2360.4,1.21594,1.04281,1.12704,0.84227,0.79519,0.85196,0.56936,1.15249,0.90991,1.08607,0.00153497,0.00153497,0.00153497
10,2567.42,1.19159,0.97602,1.11648,0.88729,0.80251,0.87823,0.58709,1.14273,0.84684,1.08514,0.00151847,0.00151847,0.00151847
11,2774.21,1.18557,0.95985,1.11108,0.91005,0.78336,0.88803,0.60071,1.13133,0.81887,1.06794,0.00150197,0.00150197,0.00150197
12,2981.07,1.16128,0.92899,1.09705,0.88534,0.78129,0.87208,0.59874,1.08628,0.85097,1.05288,0.00148546,0.00148546,0.00148546
13,3185.53,1.14612,0.90511,1.09406,0.89817,0.79973,0.88352,0.60647,1.10707,0.82943,1.05211,0.00146896,0.00146896,0.00146896
14,3391.76,1.14986,0.89635,1.09318,0.88087,0.81828,0.89181,0.61554,1.08447,0.79692,1.04599,0.00145246,0.00145246,0.00145246
15,3597.09,1.14298,0.87965,1.07734,0.90513,0.83314,0.90629,0.61366,1.11191,0.76334,1.04973,0.00143595,0.00143595,0.00143595
16,3801.76,1.1223,0.84415,1.07719,0.89167,0.85012,0.90549,0.62456,1.0657,0.75355,1.03888,0.00141945,0.00141945,0.00141945
17,4007.06,1.10682,0.83866,1.06044,0.90103,0.84444,0.9053,0.62545,1.07715,0.76686,1.04314,0.00140295,0.00140295,0.00140295
18,4239.63,1.09797,0.83265,1.0633,0.89172,0.84355,0.90921,0.6229,1.079,0.74312,1.04396,0.00138644,0.00138644,0.00138644
19,4443.2,1.10674,0.80946,1.06817,0.90678,0.83204,0.90384,0.62697,1.06618,0.74647,1.04163,0.00136994,0.00136994,0.00136994
20,4648.39,1.10131,0.80704,1.06147,0.89426,0.8519,0.90864,0.62863,1.05391,0.72292,1.03448,0.00135344,0.00135344,0.00135344
21,4851.75,1.09452,0.80876,1.05993,0.89163,0.86503,0.91546,0.63922,1.05325,0.72503,1.03317,0.00133693,0.00133693,0.00133693
22,5056.32,1.07689,0.78584,1.05486,0.91835,0.83416,0.91894,0.65352,1.02744,0.70769,1.0168,0.00132043,0.00132043,0.00132043
23,5259.86,1.07915,0.7763,1.05313,0.90241,0.86157,0.92107,0.65319,1.02753,0.69968,1.00995,0.00130393,0.00130393,0.00130393
24,5463.74,1.05339,0.74719,1.03995,0.90728,0.85543,0.91387,0.65285,1.02348,0.66843,1.01647,0.00128742,0.00128742,0.00128742
25,5667.61,1.04563,0.73209,1.04154,0.91518,0.85998,0.92693,0.6607,1.01702,0.66633,1.01523,0.00127092,0.00127092,0.00127092
26,5871.65,1.05823,0.75197,1.0403,0.91552,0.84265,0.91565,0.64617,1.02561,0.67168,1.01566,0.00125442,0.00125442,0.00125442
27,6076.36,1.05565,0.73265,1.04621,0.91302,0.8685,0.92758,0.65519,1.03189,0.65533,1.0172,0.00123791,0.00123791,0.00123791
28,6281.82,1.04299,0.72434,1.03399,0.93045,0.8698,0.93402,0.65603,1.02234,0.63396,1.01311,0.00122141,0.00122141,0.00122141
29,6488.7,1.02885,0.71392,1.03329,0.92073,0.86764,0.92923,0.65846,1.01572,0.64478,1.01106,0.00120491,0.00120491,0.00120491
30,6694.32,1.02807,0.70793,1.02902,0.93361,0.86582,0.93139,0.65479,1.03742,0.65837,1.01895,0.0011884,0.0011884,0.0011884
31,6900.22,1.0229,0.70889,1.02885,0.92698,0.85908,0.93092,0.65831,1.02463,0.65676,1.00999,0.0011719,0.0011719,0.0011719
32,7105.69,1.02286,0.69627,1.01872,0.91147,0.87404,0.92384,0.66164,1.0014,0.63534,0.99747,0.0011554,0.0011554,0.0011554
33,7312.02,1.01719,0.68829,1.02933,0.92754,0.87172,0.92847,0.66335,1.01106,0.6318,1.00456,0.00113889,0.00113889,0.00113889
34,7517.02,1.01189,0.67902,1.01475,0.92499,0.87918,0.93585,0.66322,1.02489,0.62938,1.00649,0.00112239,0.00112239,0.00112239
35,7722.76,1.01583,0.66991,1.0243,0.91962,0.88976,0.93409,0.67234,0.99521,0.61489,0.99947,0.00110589,0.00110589,0.00110589
36,7928.97,1.00219,0.66764,1.0071,0.92135,0.8916,0.93995,0.6736,1.00603,0.6064,1.00543,0.00108938,0.00108938,0.00108938
37,8134.82,0.99162,0.65416,1.01601,0.93391,0.86589,0.93754,0.67336,1.0003,0.61555,0.99791,0.00107288,0.00107288,0.00107288
38,8339.84,0.99516,0.65445,1.01088,0.92473,0.87191,0.9325,0.67161,0.99003,0.62223,0.99354,0.00105638,0.00105638,0.00105638
39,8544.38,0.97731,0.6415,0.99949,0.92759,0.88112,0.93951,0.67368,0.99536,0.60525,0.99932,0.00103987,0.00103987,0.00103987
40,8749.53,0.9853,0.65796,1.01274,0.91629,0.88742,0.93969,0.67547,0.99479,0.59718,0.99699,0.00102337,0.00102337,0.00102337
41,8955.07,0.98552,0.63705,1.00459,0.92995,0.88493,0.94117,0.68253,0.97499,0.60115,0.99209,0.00100687,0.00100687,0.00100687
42,9160.12,0.97217,0.62222,0.99828,0.92442,0.89258,0.94159,0.67589,0.98286,0.58858,0.99188,0.000990365,0.000990365,0.000990365
43,9364.91,0.97192,0.61003,0.99808,0.9443,0.87697,0.94153,0.67881,0.97733,0.59542,0.99167,0.000973861,0.000973861,0.000973861
44,9570.43,0.97267,0.60646,0.99364,0.941,0.87882,0.94463,0.68465,0.98476,0.57963,0.99112,0.000957358,0.000957358,0.000957358
45,9774.66,0.95376,0.60294,0.98989,0.94032,0.87668,0.9396,0.67562,0.98544,0.58396,0.99595,0.000940855,0.000940855,0.000940855
46,9979.92,0.96731,0.61757,0.9947,0.91441,0.89485,0.93397,0.67843,0.97806,0.59644,0.99142,0.000924352,0.000924352,0.000924352
47,10187.7,0.96165,0.61098,0.98872,0.92684,0.88341,0.94048,0.67922,0.98999,0.59427,0.99711,0.000907848,0.000907848,0.000907848
48,10393.5,0.95262,0.59426,0.99033,0.93685,0.88628,0.94141,0.68295,0.98239,0.56757,0.98865,0.000891345,0.000891345,0.000891345
49,10599.7,0.94263,0.59565,0.98999,0.93755,0.88155,0.9398,0.68088,0.97534,0.58149,0.99193,0.000874842,0.000874842,0.000874842
50,10803.9,0.94136,0.58933,0.99001,0.93182,0.89343,0.94218,0.67851,0.98912,0.57838,0.99555,0.000858338,0.000858338,0.000858338
51,11007.9,0.94556,0.58342,0.98831,0.94322,0.87643,0.94142,0.6826,0.9755,0.56566,0.98681,0.000841835,0.000841835,0.000841835
52,11212.2,0.93949,0.58382,0.99343,0.93426,0.88741,0.94268,0.68694,0.97075,0.56016,0.98992,0.000825332,0.000825332,0.000825332
53,11416.2,0.93628,0.58456,0.98157,0.92131,0.89576,0.94366,0.68896,0.96799,0.56569,0.9872,0.000808828,0.000808828,0.000808828
54,11620.9,0.92847,0.56408,0.98124,0.9338,0.89567,0.93975,0.68172,0.97118,0.55992,0.98337,0.000792325,0.000792325,0.000792325
55,11825.9,0.92638,0.57206,0.97929,0.92096,0.90669,0.94881,0.69179,0.96056,0.54704,0.97836,0.000775822,0.000775822,0.000775822
56,12031.8,0.92088,0.55371,0.98095,0.93588,0.89496,0.94755,0.69294,0.96588,0.55156,0.98891,0.000759318,0.000759318,0.000759318
57,12236.2,0.91095,0.56212,0.97439,0.95015,0.87665,0.93973,0.68426,0.96285,0.55809,0.98208,0.000742815,0.000742815,0.000742815
58,12440.7,0.91335,0.55104,0.97406,0.9475,0.89015,0.94529,0.68764,0.96539,0.55813,0.98315,0.000726312,0.000726312,0.000726312
59,12644.6,0.91313,0.5588,0.97282,0.93785,0.89653,0.94511,0.69197,0.96049,0.54755,0.98227,0.000709809,0.000709809,0.000709809
60,12849.5,0.90424,0.53814,0.96758,0.93264,0.89,0.94591,0.68963,0.96738,0.54665,0.98763,0.000693305,0.000693305,0.000693305
61,13054.8,0.90256,0.5425,0.96989,0.94201,0.88043,0.94316,0.68856,0.96111,0.55061,0.97907,0.000676802,0.000676802,0.000676802
62,13282.5,0.9114,0.54183,0.96831,0.92547,0.89675,0.94606,0.69077,0.95568,0.54452,0.97738,0.000660299,0.000660299,0.000660299
63,13487.7,0.89899,0.54449,0.96822,0.9253,0.89794,0.94597,0.69448,0.95854,0.54161,0.98168,0.000643795,0.000643795,0.000643795
64,13691.9,0.90472,0.53322,0.96763,0.9333,0.89955,0.94811,0.70107,0.95,0.53373,0.97744,0.000627292,0.000627292,0.000627292
65,13897.3,0.89958,0.52812,0.9572,0.94852,0.88688,0.94715,0.69279,0.95337,0.548,0.97821,0.000610789,0.000610789,0.000610789
66,14102.8,0.88608,0.51727,0.95999,0.93688,0.90751,0.9541,0.69852,0.94959,0.52822,0.97639,0.000594286,0.000594286,0.000594286
67,14310.3,0.88189,0.51622,0.96253,0.93923,0.89605,0.94651,0.69644,0.95523,0.52767,0.98368,0.000577782,0.000577782,0.000577782
68,14515.6,0.87044,0.50982,0.95495,0.94269,0.88839,0.9451,0.69395,0.95473,0.53915,0.98419,0.000561279,0.000561279,0.000561279
69,14720.7,0.87105,0.50625,0.95605,0.94106,0.89848,0.94686,0.69753,0.95182,0.53531,0.98356,0.000544776,0.000544776,0.000544776
70,14925.9,0.87587,0.51783,0.95737,0.93756,0.89215,0.9419,0.69107,0.95443,0.53504,0.98484,0.000528272,0.000528272,0.000528272
71,15131.2,0.86754,0.5002,0.95186,0.93801,0.90018,0.948,0.69515,0.94345,0.52403,0.98144,0.000511769,0.000511769,0.000511769
72,15336.3,0.86674,0.50469,0.95788,0.93795,0.90247,0.94851,0.69739,0.94405,0.51834,0.97681,0.000495266,0.000495266,0.000495266
73,15540.5,0.84997,0.48998,0.94492,0.942,0.8958,0.95042,0.69763,0.94113,0.51525,0.97885,0.000478762,0.000478762,0.000478762
74,15745.3,0.85544,0.4855,0.94876,0.94386,0.89871,0.94976,0.69563,0.95184,0.52233,0.98615,0.000462259,0.000462259,0.000462259
75,15951.7,0.84476,0.47721,0.94728,0.93996,0.90844,0.94948,0.69631,0.9396,0.52577,0.97786,0.000445756,0.000445756,0.000445756
76,16156.3,0.85319,0.48104,0.94404,0.95021,0.89892,0.94912,0.69359,0.94892,0.53011,0.98097,0.000429253,0.000429253,0.000429253
77,16361.4,0.85199,0.47673,0.94688,0.95152,0.90285,0.94839,0.69355,0.95171,0.51597,0.98301,0.000412749,0.000412749,0.000412749
78,16566.9,0.83688,0.47337,0.93925,0.93421,0.9015,0.94803,0.69356,0.95495,0.52176,0.98546,0.000396246,0.000396246,0.000396246
79,16772.4,0.82978,0.45987,0.93442,0.94232,0.91211,0.95007,0.69824,0.94213,0.50795,0.97783,0.000379743,0.000379743,0.000379743
80,16977.6,0.82641,0.46369,0.93723,0.93068,0.91287,0.9476,0.69819,0.94357,0.51513,0.97628,0.000363239,0.000363239,0.000363239
81,17183,0.84124,0.48678,0.94979,0.93988,0.90859,0.94902,0.70078,0.93564,0.51332,0.97549,0.000346736,0.000346736,0.000346736
82,17388,0.82595,0.46551,0.94184,0.93715,0.91262,0.95008,0.69963,0.9443,0.50576,0.98132,0.000330233,0.000330233,0.000330233
83,17593.2,0.8225,0.46175,0.93577,0.94532,0.90611,0.94921,0.69609,0.94518,0.50752,0.98261,0.000313729,0.000313729,0.000313729
